Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Primeape,100,57,fighting,none,140.2,99.2,115,1598880,24.5,1497,Karate Chop,Rage Fist,Close Combat,4,5,3,50000
Pangoro,99.7,675,fighting,dark,134.5,92,134,1658196,19,1496,Karate Chop,Close Combat,Night Slash,5,4,3,50000
Primeape (Shadow),99.1,57,fighting,none,140.2,99.2,115,1598880,24.5,1497,Karate Chop,Rage Fist,Close Combat,4,5,3,50000
Corsola (Galarian),96.7,222,ghost,none,99.6,162.1,139,2243153,46.5,1494,Astonish,Night Shade,Power Gem,5,5,3,50000
Clodsire,96.1,980,poison,ground,94.2,119.4,209,2352152,29,1490,Poison Sting,Sludge Bomb,Earthquake,6,8,3,50000
Togedemaru,96.1,777,electric,steel,132.1,105.6,121,1688198,26,1495,Thunder Shock,Fell Stinger,Wild Charge,4,5,3,50000
Morpeko (Full Belly),96,877,electric,dark,141.7,97.8,114,1580701,29,1499,Thunder Shock,Aura Wheel,Psychic Fangs,5,4,3,50000
Gastrodon,95.7,423,water,ground,114.4,102.5,167,1957876,24.5,1497,Mud Slap,Body Slam,Earth Power,4,6,3,50000
Jumpluff (Shadow),95.7,189,grass,flying,97,153.5,155,2308399,41,1500,Fairy Wind,Aerial Ace,Energy Ball,5,7,3,50000
Jumpluff,94.3,189,grass,flying,97,153.5,155,2308399,41,1500,Fairy Wind,Aerial Ace,Energy Ball,5,7,3,50000
Clefable,94.2,36,fairy,none,117.2,111.5,146,1908090,23,1499,Fairy Wind,Moonblast,Swift,7,4,1,10000
Clodsire,94.2,980,poison,ground,94.2,119.4,209,2352152,29,1490,Poison Sting,Earthquake,Stone Edge,8,7,3,50000
Mandibuzz,93.7,630,dark,flying,92.3,149.2,176,2424943,27,1497,Snarl,Dark Pulse,Aerial Ace,4,4,5,75000
Marowak (Shadow),93.7,105,ground,none,110.8,145,126,2025310,32,1500,Mud Slap,Bone Club,Rock Slide,4,5,3,50000
Diggersby,92.7,660,normal,ground,96.3,141.2,171,2324733,48,1496,Quick Attack,Fire Punch,Scorching Sands,5,7,1,10000
Aurorus,92.5,699,rock,ice,114.1,105.7,163,1966639,20,1498,Powder Snow,Weather Ball (Ice),Meteor Beam,5,8,5,75000
Dunsparce,92.5,206,normal,none,104.8,111,183,2127733,37.5,1496,Rollout,Drill Run,Rock Slide,4,4,3,50000
Electrode (Hisuian),92.4,101,electric,grass,123.3,130.1,113,1812571,26,1495,Thunder Shock,Wild Charge,Swift,5,4,3,50000
Machamp (Shadow),92.4,68,fighting,none,136.4,97.2,124,1644073,17.5,1497,Karate Chop,Cross Chop,Stone Edge,4,7,3,50000
Malamar,92.2,687,dark,psychic,118.5,117.1,136,1887141,24,1499,Psywave,Superpower,Foul Play,10,12,3,50000
Quagsire (Shadow),92.2,195,water,ground,111.3,112,161,2005558,28.5,1494,Mud Shot,Aqua Tail,Stone Edge,5,7,3,50000
Gallade (Shadow),92.1,475,psychic,fighting,137.2,114.5,104,1633015,18,1498,Psycho Cut,Close Combat,Leaf Blade,5,4,5,75000
Serperior,92.1,497,grass,none,110.2,143.6,128,2025814,25,1499,Vine Whip,Frenzy Plant,Aerial Ace,6,5,3,10000
Machoke (Shadow),92,67,fighting,none,127.7,97.2,141,1750103,27,1498,Karate Chop,Cross Chop,Dynamic Punch,4,6,3,50000
Donphan (Shadow),91.8,232,ground,none,125.8,112,126,1776372,18.5,1500,Mud Slap,Trailblaze,Body Slam,5,4,3,50000
Stunfisk,91.8,618,ground,electric,101.8,127.9,169,2200089,26.5,1497,Thunder Shock,Mud Bomb,Discharge,5,5,5,75000
Machamp,91.7,68,fighting,none,136.4,97.2,124,1644073,17.5,1497,Karate Chop,Cross Chop,Stone Edge,4,7,3,50000
Lickilicky,91.5,463,normal,none,106.3,121.1,164,2111832,23,1498,Rollout,Body Slam,Shadow Ball,3,5,3,50000
Drapion (Shadow),91.2,452,poison,dark,118.5,136.5,117,1892269,23,1499,Poison Sting,Crunch,Aqua Tail,5,4,5,75000
Quagsire,91.1,195,water,ground,111.3,112,161,2005558,28.5,1494,Mud Shot,Aqua Tail,Stone Edge,5,7,3,50000
Annihilape,90.9,979,fighting,ghost,123.9,106.3,137,1804832,17,1499,Counter,Rage Fist,Close Combat,6,8,3,50000
Marowak,90.9,105,ground,none,110.8,145,126,2025310,32,1500,Mud Slap,Bone Club,Rock Slide,4,5,3,50000
Weezing (Galarian) (Shadow),90.9,110,poison,fairy,118.4,138.9,115,1889997,24.5,1495,Fairy Wind,Brutal Swing,Play Rough,4,7,3,50000
Sandslash (Alolan),90.6,28,ice,steel,116.6,132.6,124,1917384,23,1500,Powder Snow,Ice Punch,Drill Run,5,6,3,50000
Marowak (Alolan),90.5,105,fire,ghost,110.8,145,126,2025310,32,1500,Fire Spin,Bone Club,Shadow Bone,4,5,3,50000
Dusknoir (Shadow),90.2,477,ghost,none,119.8,172.9,90,1864291,23.5,1499,Astonish,Shadow Ball,Shadow Punch,6,4,3,50000
Feraligatr,90.2,160,water,none,123.3,118,124,1803586,19.5,1493,Shadow Claw,Hydro Cannon,Ice Beam,5,7,3,10000
